"income","loan_size","collateral","city","LTV","PD"
4000,242998,346500,"IL.Chicago",0.701292929292929,0.0350525099225258
6000,284172,82800,"IL.Chicago",3.43202898550725,0.145857761169375
10000,286150,296600,"MI.Detroit",0.964767363452461,0.0121593101800177
14000,392647,304800,"IL.Chicago",1.28821194225722,0.00686477317255873
10000,281583,155400,"CA.Los.Angeles",1.81198841698842,0.0078020342721455
14000,321222,270600,"IL.Chicago",1.18707317073171,0.0402999799682265
14000,424952,508800,"IL.Chicago",0.835204402515723,0.040712098486209
14000,285818,431900,"IL.Chicago",0.661768927992591,0.0298348726098469
18000,164680,144400,"IL.Chicago",1.1404432132964,0.0367644382415338
18000,312281,246600,"IL.Chicago",1.26634630981346,0.0584395161288769
20000,391169,334700,"IL.Chicago",1.16871526740364,0.0307867591012883
6000,186593,199200,"MI.Detroit",0.936711847389558,0.0278725724037126
12000,463834,336900,"CA.Los.Angeles",1.37677055506085,0.0309095151520773
6000,247573,301900,"MI.Detroit",0.820049685326267,0.0255546957477207
12000,338933,383800,"CA.Los.Angeles",0.883097967691506,0.0111816474109315
6000,336244,540000,"IL.Chicago",0.622674074074074,0.0298452032383411
12000,429886,232400,"MI.Detroit",1.84976764199656,0.00524307365505696
12000,432995,305200,"IL.Chicago",1.4187254259502,0.0553214695356008
10000,390661,710400,"IL.Chicago",0.549916948198198,0.00819251889841889
6000,347482,400500,"CA.Los.Angeles",0.867620474406991,0.0391932474425547
6000,302963,220000,"MI.Detroit",1.37710454545455,0.0252816799097738
18000,140600,131500,"IL.Chicago",1.06920152091255,0.015324140501584
12000,336973,358700,"IL.Chicago",0.939428491775857,0.00126902932467001
10000,368579,252300,"IL.Chicago",1.46087594133968,0.0525746321031168
4000,250711,383400,"IL.Chicago",0.653914971309338,0.031378324633934
16000,332689,130500,"CA.Los.Angeles",2.54934099616858,0.0571476881147504
8000,220836,241900,"MI.Detroit",0.912922695328648,0.0265405571630518
4000,332087,285100,"IL.Chicago",1.16480883900386,0.0378433122099414
18000,344050,172500,"IL.Chicago",1.99449275362319,0.0775195079317242
6000,210836,154200,"CA.Los.Angeles",1.36728923476005,0.0353102763321667
16000,212213,127200,"MI.Detroit",1.66834119496855,0.0704450246518438
10000,231970,158700,"MI.Detroit",1.46168872085696,0.0676971148916713
6000,377820,237000,"MI.Detroit",1.59417721518987,0.0608172063837742
2000,258051,336400,"IL.Chicago",0.767095719381688,0.00530174984154302
12000,293135,299900,"MI.Detroit",0.977442480826942,0.0280535247287003
8000,239661,197900,"CA.Los.Angeles",1.21102071753411,0.01043755252756
18000,314693,455100,"IL.Chicago",0.69148099318831,0.0235562870811752
10000,309104,254000,"CA.Los.Angeles",1.21694488188976,0.0404892232274116
4000,585835,998200,"CA.Los.Angeles",0.586891404528151,0.00593968846635936
16000,381141,314900,"IL.Chicago",1.21035566846618,0.0200595380198132
10000,428325,398500,"MI.Detroit",1.07484316185696,0.00459022543618676
6000,316353,396900,"CA.Los.Angeles",0.797059712773998,0.0342334495231534
6000,184141,215300,"IL.Chicago",0.855276358569438,0.0331925007615005
4000,376192,523800,"IL.Chicago",0.71819778541428,0.0224387349154958
8000,365696,413100,"CA.Los.Angeles",0.885248123940934,0.0120517763032467
16000,548173,371300,"MI.Detroit",1.47636143280366,0.0563130309107033
10000,11238,33400,"MI.Detroit",0.336467065868263,0.0033013889191569
10000,296956,297200,"MI.Detroit",0.999179004037685,0.015105066435261
12000,290232,335600,"CA.Los.Angeles",0.864815256257449,0.0273321485028528
12000,416246,586900,"CA.Los.Angeles",0.709228147895723,0.0241379438221616
10000,342375,542900,"IL.Chicago",0.630641002026156,0.0190055463273295
8000,283359,470800,"CA.Los.Angeles",0.601867034834325,0.000528011530334191
12000,35553,71300,"IL.Chicago",0.498639551192146,0.0197175837459438
10000,497343,462100,"MI.Detroit",1.07626704176585,0.047067092387122
18000,258343,229600,"CA.Los.Angeles",1.12518728222997,0.0308141155398042
10000,273774,517500,"IL.Chicago",0.529031884057971,0.0184376190886943
10000,184131,195800,"IL.Chicago",0.940403472931563,0.0112976464110266
10000,346269,296300,"IL.Chicago",1.16864326695916,0.0176494658254514
10000,179193,252400,"IL.Chicago",0.709956418383518,0.00575050084791814
8000,142766,212100,"IL.Chicago",0.673107024988213,0.0292140264437104
6000,431501,481000,"IL.Chicago",0.897091476091476,0.0164830986277221
12000,155713,101400,"MI.Detroit",1.53563116370809,0.0759579563090232
12000,393890,448400,"CA.Los.Angeles",0.878434433541481,0.00762253937566811
12000,88606,120700,"MI.Detroit",0.734101077050539,0.0205353360466614
8000,477052,291800,"IL.Chicago",1.63485949280329,0.0811667946853935
4000,300448,179100,"IL.Chicago",1.67754327191513,0.0550561609324993
4000,417620,305600,"IL.Chicago",1.36655759162304,0.0509097798236764
18000,122959,146900,"IL.Chicago",0.837025187202178,0.00278742772132083
6000,289095,440700,"IL.Chicago",0.655990469707284,0.0195529928156756
14000,257208,335600,"IL.Chicago",0.766412395709178,0.0337441743725386
4000,190637,263400,"MI.Detroit",0.723754745634017,0.00263033552860612
10000,259153,364100,"CA.Los.Angeles",0.711763251853886,0.01757606818459
12000,177623,180000,"IL.Chicago",0.986794444444444,0.000434070849772866
