Date,EQ_WIG
1991-04-16,1000
1991-04-23,967.7
1991-04-30,945.6
1991-05-14,939.6
1991-05-21,966.1
1991-05-28,956.5
1991-06-04,969.4
1991-06-11,960.4
1991-06-18,866.8
1991-06-25,850.2
1991-07-02,891.2
1991-07-09,866.6
1991-07-16,834.4
1991-07-23,853.4
1991-07-30,825.1
1991-08-06,794.2
1991-08-13,771.6
1991-08-20,756.9
1991-08-27,739.7
1991-09-03,725.8
1991-09-10,715.2
1991-09-17,692.8
1991-09-24,680
1991-10-01,678.5
1991-10-08,707.8
1991-10-15,771.8
1991-10-22,844.4
1991-10-29,923.2
1991-11-05,990.4
1991-11-12,995.7
1991-11-19,898.7
1991-11-26,856.7
1991-12-03,917.1
1991-12-10,1001.9
1991-12-17,928
1991-12-31,919.1
1992-01-07,974.9
1992-01-09,964.1
1992-01-14,930.8
1992-01-16,915.1
1992-01-21,947.3
1992-01-23,952.7
1992-01-28,933.3
1992-01-30,937.4
1992-02-04,935.1
1992-02-06,901.3
1992-02-11,936.7
1992-02-13,919.8
1992-02-18,923.4
1992-02-20,932.6
1992-02-25,941.6
1992-02-27,924.8
1992-03-03,947.9
1992-03-05,956.6
1992-03-10,952
1992-03-12,955.4
1992-03-17,920.5
1992-03-19,939.2
1992-03-24,934.9
1992-03-26,913.1
1992-03-31,882.2
1992-04-02,876.5
1992-04-07,852.2
1992-04-09,840.8
1992-04-14,844.3
1992-04-16,849.4
1992-04-23,831.9
1992-04-28,796.7
1992-04-30,774.2
1992-05-05,761.3
1992-05-07,768.1
1992-05-12,782.5
1992-05-14,770.6
1992-05-19,747.3
1992-05-21,748.7
1992-05-26,738.9
1992-05-28,748.6
1992-06-02,741.4
1992-06-04,723.2
1992-06-09,708
1992-06-11,685.6
1992-06-16,671.2
1992-06-23,635.3
1992-06-25,660.3
1992-06-30,723.5
1992-07-02,792.5
1992-07-07,861.8
1992-07-09,870.7
1992-07-14,839.8
1992-07-16,854
1992-07-21,830.8
1992-07-23,850.3
1992-07-28,846.3
1992-07-30,841.3
1992-08-04,819.1
1992-08-06,811.2
1992-08-11,814.3
1992-08-13,812.7
1992-08-18,808
1992-08-20,808.9
1992-08-25,819.3
1992-08-27,850.5
1992-09-01,838.8
1992-09-03,837.4
1992-09-08,828.3
1992-09-10,826.5
1992-09-15,855.8
1992-09-17,875.9
1992-09-22,877.3
1992-09-24,888.1
1992-09-29,912.2
1992-10-01,938.1
1992-10-06,932
1992-10-08,903.8
1992-10-13,877.2
1992-10-15,893
1992-10-20,932.2
1992-10-22,953.2
1992-10-27,961.5
1992-10-29,940.2
1992-11-03,925.7
1992-11-05,942.5
1992-11-10,943.7
1992-11-12,942.6
1992-11-17,958.3
1992-11-19,962.3
1992-11-24,943
1992-11-26,965.1
1992-12-01,1013.4
1992-12-03,1059.7
1992-12-08,1070.2
1992-12-10,1071
1992-12-15,1068.2
1992-12-17,1056.5
1992-12-22,1041.6
1992-12-29,1040.7
1993-01-04,1037.1
1993-01-05,1046.4
1993-01-07,1058.2
1993-01-11,1073.4
1993-01-12,1081.6
1993-01-14,1079.1
1993-01-18,1085.5
1993-01-19,1080.9
1993-01-21,1079.6
1993-01-25,1066.6
1993-01-26,1050.3
1993-01-28,1050.3
1993-02-01,1057.5
1993-02-02,1059.6
1993-02-04,1057.3
1993-02-08,1055.9
1993-02-09,1054.1
1993-02-11,1050.3
1993-02-15,1053.4
1993-02-16,1060.5
1993-02-18,1047.5
1993-02-22,1052.4
1993-02-23,1066.6
1993-02-25,1083.1
1993-03-01,1100.9
1993-03-02,1134.4
1993-03-04,1165.7
1993-03-08,1200.8
1993-03-09,1240.7
1993-03-11,1268.8
1993-03-15,1230.9
1993-03-16,1223.7
1993-03-18,1245
1993-03-22,1262.6
1993-03-23,1254.9
1993-03-25,1279.3
1993-03-29,1299.4
1993-03-30,1302.9
1993-04-01,1293.2
1993-04-05,1300.6
1993-04-06,1310.7
1993-04-08,1350.1
1993-04-13,1427.4
1993-04-15,1531.8
1993-04-19,1641.7
1993-04-20,1774.1
1993-04-22,1938.9
1993-04-26,1950.4
1993-04-27,1886.8
1993-04-29,1837.5
1993-05-04,1895
1993-05-06,2027.7
1993-05-10,2226.6
1993-05-11,2446.2
1993-05-13,2563.6
1993-05-17,2541.6
1993-05-18,2748.8
1993-05-20,3002.9
1993-05-24,3204
1993-05-25,3463.1
1993-05-27,3674
1993-05-31,3784
1993-06-01,3710.2
1993-06-03,3353.9
1993-06-07,3034.2
1993-06-08,2740.1
1993-06-09,2637.8
1993-06-14,2890.8
1993-06-15,3171.1
1993-06-17,3323.1
1993-06-21,3214
1993-06-22,3309.1
1993-06-24,3400.1
1993-06-28,3448.6
1993-06-29,3504.2
1993-07-01,3677.6
1993-07-05,4005.1
1993-07-06,4138.8
1993-07-08,3885.3
1993-07-12,4111.2
1993-07-13,4164.4
1993-07-15,4093.1
1993-07-19,4146.9
1993-07-20,4237.3
1993-07-22,4193.8
1993-07-26,4212.8
1993-07-27,4214.5
1993-07-29,4195.3
1993-08-02,4227.7
1993-08-03,4242.6
1993-08-05,4451.1
1993-08-09,4864.7
1993-08-10,5247.3
1993-08-12,5251.6
1993-08-16,5492.4
1993-08-17,5869.2
1993-08-19,6005.2
1993-08-23,6390.6
1993-08-24,7001.1
1993-08-26,7474.1
1993-08-30,6970.7
1993-08-31,6307.9
1993-09-02,6893.8
1993-09-06,7561
1993-09-07,7141.3
1993-09-09,6759.6
1993-09-13,6764.4
1993-09-14,6833.7
1993-09-16,7055.1
1993-09-20,6611.7
1993-09-21,6189.3
1993-09-23,5892.9
1993-09-27,5847.8
1993-09-28,6119
1993-09-30,6302.5
1993-10-04,6542
1993-10-05,6771.4
1993-10-07,6831.3
1993-10-11,7164.8
1993-10-12,7584.7
1993-10-14,7741.3
1993-10-18,8110.1
1993-10-19,8054.1
1993-10-21,7845.3
1993-10-26,7740.1
1993-10-28,7974.5
1993-11-02,8189.8
1993-11-04,8341.4
1993-11-08,8248.5
1993-11-09,8121
1993-11-10,8460.6
1993-11-15,8970
1993-11-16,9147.2
1993-11-18,8609.8
1993-11-22,8251.1
1993-11-23,8680
1993-11-25,8902.3
1993-11-29,8821.5
1993-11-30,8867.2
1993-12-02,9172.4
1993-12-06,9585.3
1993-12-07,9764.5
1993-12-09,9742.2
1993-12-13,10273.8
1993-12-14,10414
1993-12-16,10677
1993-12-20,10921
1993-12-21,11354.6
1993-12-23,12106.2
1993-12-27,12818.1
1993-12-28,11760.9
1993-12-30,12439
1994-01-03,13044.8
1994-01-04,13345.5
1994-01-06,13233.9
1994-01-10,13310.8
1994-01-11,13558
1994-01-13,14117.5
1994-01-17,14625.1
1994-01-18,15081.6
1994-01-20,15420.8
1994-01-24,15846.3
1994-01-25,16808.6
1994-01-27,18218.3
1994-01-31,16881
1994-02-01,15227.9
1994-02-03,14871.5
1994-02-07,16137.5
1994-02-08,16817.9
1994-02-10,17300.2
1994-02-14,18059.9
1994-02-15,18799.3
1994-02-17,19059.2
1994-02-21,19358.3
1994-02-22,19641
1994-02-24,19802.2
1994-02-28,20196
1994-03-01,20275.6
1994-03-03,19996.9
1994-03-07,20360.7
1994-03-08,20760.3
1994-03-10,20623.4
1994-03-14,20457.3
1994-03-15,20710.1
1994-03-17,20191.3
1994-03-21,18414.2
1994-03-22,17236.8
1994-03-24,18519.7
1994-03-28,17646.3
1994-03-29,16047.1
1994-03-31,14536.9
1994-04-05,13785.1
1994-04-07,14014.5
1994-04-08,13396.4
1994-04-11,11959.7
1994-04-12,10701.8
1994-04-14,9980.4
1994-04-18,10498.9
1994-04-19,11298.9
1994-04-21,13099
1994-04-25,13557.6
1994-04-26,12221.7
1994-04-28,11020.3
1994-05-05,11389.4
1994-05-06,10852.3
1994-05-09,10406.2
1994-05-10,10399.7
1994-05-12,10674.6
1994-05-16,11615.3
1994-05-17,11451.8
1994-05-19,11817.8
1994-05-23,12240.8
1994-05-24,12479.6
1994-05-26,12289.7
1994-05-30,12219.6
1994-05-31,12036.7
1994-06-01,11166
1994-06-06,10598.2
1994-06-07,10221.7
1994-06-09,9712.7
1994-06-13,8757.3
1994-06-14,7934
1994-06-16,8386.5
1994-06-20,7893.8
1994-06-21,7410.6
1994-06-23,7215.2
1994-06-27,7678.3
1994-06-28,7921.9
1994-06-30,7792.5
1994-07-04,8019
1994-07-05,8472.7
1994-07-06,8833.4
1994-07-07,9164.1
1994-07-11,9610
1994-07-12,10258.2
1994-07-13,11062.9
1994-07-14,10407.1
1994-07-18,11065.3
1994-07-19,11665.1
1994-07-20,10608.5
1994-07-21,11018.8
1994-07-25,10496.3
1994-07-26,10383
1994-07-27,10685
1994-07-28,10715.8
1994-08-01,10799.4
1994-08-02,10952.7
1994-08-03,11363.4
1994-08-04,11790.3
1994-08-08,11976.4
1994-08-09,11887.8
1994-08-10,11715.2
1994-08-11,11762.8
1994-08-16,12014.3
1994-08-17,12145.7
1994-08-18,12481.2
1994-08-22,12430.9
1994-08-23,12507
1994-08-24,11971.2
1994-08-25,11458.2
1994-08-29,11503.5
1994-08-30,11698.8
1994-08-31,11181.4
1994-09-01,10635
1994-09-05,10417.2
1994-09-06,9565.4
1994-09-07,9274.4
1994-09-08,10027.7
1994-09-12,10537.3
1994-09-13,9773
1994-09-14,9545
1994-09-15,9643.3
1994-09-19,9613.1
1994-09-20,9290.7
1994-09-21,9118.8
1994-09-22,9134.5
1994-09-26,9110.7
1994-09-27,8705.2
1994-09-28,8838.7
1994-09-29,9185.3
1994-10-03,9456.3
1994-10-04,9563.8
1994-10-05,9900.6
1994-10-06,9902.4
1994-10-07,9911.6
1994-10-10,9598.9
1994-10-11,9328.9
1994-10-12,9309.8
1994-10-13,9074
1994-10-14,9141.6
1994-10-17,9234.3
1994-10-18,9444.2
1994-10-19,9293.7
1994-10-20,9226
1994-10-21,8979
1994-10-24,8637.8
1994-10-25,8497.1
1994-10-26,8259.7
1994-10-27,8012.3
1994-10-28,7793.6
1994-11-02,8078.4
1994-11-03,8290.2
1994-11-04,8006.9
1994-11-07,7908.3
1994-11-08,7848.1
1994-11-09,7634.4
1994-11-10,7446.1
1994-11-14,7235.9
1994-11-15,6880.8
1994-11-16,6716.2
1994-11-17,7152.7
1994-11-18,7190.6
1994-11-21,6841.3
1994-11-22,6762
1994-11-23,6898.2
1994-11-24,6881.1
1994-11-25,6939.7
1994-11-28,7112.5
1994-11-29,7522
1994-11-30,7959.3
1994-12-01,8177
1994-12-02,8030.5
1994-12-05,8118.9
1994-12-06,8046.2
1994-12-07,7702.5
1994-12-08,7247.4
1994-12-09,6961.6
1994-12-12,7391.9
1994-12-13,7379
1994-12-14,7203.6
1994-12-15,7197.1
1994-12-16,7352.2
1994-12-19,7551.8
1994-12-20,7319.9
1994-12-21,7354.9
1994-12-22,7314.8
1994-12-23,7339.4
1994-12-27,7315.6
1994-12-28,7196.7
1994-12-29,7473.1
1995-01-02,7674.4
1995-01-03,7964.9
1995-01-04,7814.2
1995-01-05,7881.9
1995-01-06,7538.9
1995-01-09,7636.8
1995-01-10,7430.6
1995-01-11,7501.5
1995-01-12,7471.1
1995-01-13,7619
1995-01-16,7621.5
1995-01-17,7567.6
1995-01-18,7509.6
1995-01-19,7450.2
1995-01-20,7366.8
1995-01-23,7118.2
1995-01-24,6957.3
1995-01-25,6949.4
1995-01-26,6757.4
1995-01-27,6583.7
1995-01-30,6462.1
1995-01-31,6153
1995-02-01,6258.6
1995-02-02,6069.5
1995-02-03,5926.4
1995-02-06,6279
1995-02-07,6765.4
1995-02-08,6661
1995-02-09,6741.3
1995-02-10,6598.7
1995-02-13,6436.8
1995-02-14,6596.4
1995-02-15,6633.6
1995-02-16,6725.9
1995-02-17,6725.5
1995-02-20,6599.6
1995-02-21,6277.3
1995-02-22,6246.7
1995-02-23,6419.8
1995-02-24,6903.4
1995-02-27,6604
1995-02-28,6447.3
1995-03-01,6460.2
1995-03-02,6541
